country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Arab Emirates,67900,75000,84400,95200,106000,116000,126000,135000,146000,162000,187000,221000,264000,315000,373000,438000,510000,589000,671000,750000,823000,885000,937000,986000,1040000,1090000,1150000,1220000,1290000,1370000,1450000,1530000,1620000,1710000,1800000,1890000,1990000,2110000,2230000,2370000,2510000,2660000,2820000,3020000,3330000,3770000,4380000,5120000,5910000,6630000,7190000,7550000,7750000,7820000,7870000,7940000,8050000,8180000,8330000
United Kingdom,41100000,41400000,41700000,41900000,42100000,42300000,42500000,42600000,42700000,42800000,42900000,43100000,43300000,43500000,43600000,43700000,43800000,43800000,43900000,44100000,44200000,44300000,44200000,44200000,44300000,44300000,44400000,44500000,44500000,44600000,44700000,44900000,45000000,45200000,45300000,45500000,45600000,45800000,45900000,46100000,46300000,46600000,46900000,47300000,47800000,48300000,48800000,49400000,49900000,50500000,51000000,51600000,52100000,52700000,53200000,53800000,54400000,54900000,55400000
United States,126000000,129000000,132000000,135000000,137000000,140000000,142000000,144000000,146000000,149000000,151000000,153000000,155000000,156000000,157000000,159000000,161000000,162000000,164000000,166000000,168000000,170000000,172000000,173000000,175000000,177000000,179000000,181000000,183000000,185000000,188000000,192000000,195000000,199000000,202000000,206000000,209000000,213000000,216000000,220000000,223000000,226000000,228000000,231000000,234000000,236000000,239000000,242000000,245000000,247000000,250000000,252000000,255000000,257000000,259000000,262000000,264000000,267000000,269000000
Uruguay,2040000,2070000,2100000,2130000,2160000,2190000,2220000,2250000,2270000,2300000,2310000,2330000,2340000,2340000,2350000,2360000,2380000,2410000,2430000,2460000,2490000,2520000,2540000,2570000,2600000,2630000,2650000,2680000,2710000,2740000,2770000,2800000,2830000,2860000,2890000,2920000,2950000,2980000,3010000,3030000,3060000,3070000,3080000,3090000,3090000,3100000,3110000,3120000,3140000,3160000,3170000,3190000,3200000,3210000,3230000,3240000,3260000,3270000,3290000
Uzbekistan,2900000,3020000,3140000,3280000,3420000,3570000,3730000,3900000,4080000,4250000,4440000,4630000,4820000,5010000,5210000,5420000,5640000,5870000,6100000,6310000,6480000,6650000,6830000,7000000,7180000,7350000,7540000,7720000,7910000,8150000,8480000,8770000,9070000,9390000,9680000,9960000,10300000,10600000,10900000,11100000,11400000,11600000,11900000,12200000,12400000,12700000,13000000,13300000,13600000,14000000,14600000,15000000,15200000,15400000,15600000,15900000,16100000,16400000,16600000
Vanuatu,6630,6950,7300,7660,8030,8410,8800,9200,9610,10100,10500,11000,11600,12100,12800,13400,14000,14700,15400,16200,17000,17900,18800,19800,20700,21700,22800,23900,25100,26300,27400,28600,29900,31300,32600,33900,35100,36300,37500,38800,40100,41500,43100,44800,46600,48300,50100,52000,53900,55900,57800,59600,61500,63500,65600,67700,69800,71800,74000
Venezuela,5020000,5310000,5590000,5880000,6180000,6500000,6820000,7150000,7490000,7840000,8190000,8550000,8900000,9260000,9620000,10000000,10400000,10800000,11200000,11600000,12000000,12500000,12900000,13300000,13700000,14200000,14600000,15100000,15600000,16100000,16500000,17000000,17500000,17900000,18400000,18900000,19300000,19800000,20300000,20700000,21200000,21700000,22100000,22500000,22900000,23200000,23600000,24000000,24300000,24700000,25100000,25500000,25900000,26200000,26500000,26500000,26300000,25900000,25500000
Vietnam,4800000,5060000,5330000,5610000,5910000,6220000,6540000,6870000,7220000,7580000,7940000,8180000,8420000,8660000,8900000,9150000,9400000,9650000,9910000,10200000,10400000,10700000,11000000,11300000,11600000,11900000,12200000,12500000,12900000,13200000,13800000,14300000,14900000,15500000,16000000,16600000,17200000,17700000,18300000,18800000,19500000,20100000,20800000,21500000,22200000,22900000,23600000,24300000,25100000,25900000,26800000,27600000,28500000,29400000,30400000,31300000,32300000,33300000,34300000
Yemen,484000,510000,538000,568000,599000,632000,666000,703000,741000,781000,824000,855000,888000,924000,963000,1010000,1060000,1110000,1170000,1240000,1310000,1390000,1470000,1560000,1660000,1760000,1870000,1990000,2130000,2280000,2450000,2640000,2860000,3090000,3320000,3540000,3750000,3950000,4150000,4360000,4570000,4800000,5040000,5290000,5550000,5820000,6100000,6400000,6700000,7020000,7360000,7710000,8070000,8440000,8820000,9220000,9620000,10000000,10400000
Zambia,557000,600000,645000,696000,762000,834000,913000,997000,1090000,1190000,1270000,1350000,1440000,1530000,1620000,1730000,1830000,1950000,2070000,2200000,2330000,2410000,2490000,2580000,2660000,2750000,2830000,2920000,3000000,3090000,3170000,3220000,3250000,3290000,3330000,3380000,3420000,3470000,3520000,3580000,3620000,3740000,3890000,4050000,4210000,4380000,4550000,4740000,4930000,5140000,5350000,5590000,5840000,6100000,6370000,6650000,6940000,7240000,7550000
Zimbabwe,476000,501000,528000,567000,609000,654000,701000,752000,806000,863000,918000,978000,1040000,1110000,1180000,1250000,1320000,1400000,1480000,1560000,1660000,1760000,1860000,1990000,2120000,2260000,2400000,2550000,2710000,2870000,3020000,3180000,3320000,3430000,3530000,3620000,3710000,3790000,3870000,3940000,4010000,4070000,4130000,4130000,4120000,4120000,4120000,4140000,4150000,4180000,4220000,4260000,4310000,4360000,4420000,4470000,4530000,4590000,4650000
