country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cyprus,204000,209000,212000,215000,218000,222000,227000,232000,238000,244000,250000,256000,263000,272000,289000,307000,326000,345000,364000,383000,402000,419000,436000,443000,448000,455000,464000,474000,486000,498000,512000,526000,541000,555000,569000,582000,595000,609000,622000,635000,648000,660000,671000,681000,691000,702000,712000,723000,734000,743000,752000,758000,763000,768000,772000,777000,783000,788000,795000
Czech Republic,5720000,5760000,5830000,5900000,5990000,6060000,6140000,6210000,6270000,6330000,6350000,6420000,6560000,6710000,6870000,7030000,7190000,7340000,7490000,7630000,7750000,7770000,7780000,7790000,7790000,7790000,7790000,7790000,7800000,7800000,7770000,7750000,7740000,7740000,7730000,7710000,7690000,7660000,7640000,7620000,7590000,7550000,7530000,7520000,7510000,7520000,7530000,7570000,7620000,7660000,7670000,7680000,7690000,7710000,7720000,7750000,7770000,7810000,7840000
Denmark,3370000,3430000,3490000,3550000,3610000,3670000,3720000,3780000,3830000,3880000,3930000,3980000,4030000,4080000,4120000,4160000,4190000,4220000,4250000,4270000,4290000,4300000,4300000,4300000,4310000,4310000,4320000,4340000,4340000,4350000,4360000,4370000,4390000,4410000,4420000,4450000,4470000,4490000,4510000,4530000,4540000,4560000,4580000,4600000,4620000,4650000,4680000,4710000,4750000,4790000,4820000,4840000,4870000,4900000,4930000,4970000,5020000,5060000,5090000
Djibouti,42100,45500,49600,54100,59100,64500,70400,76700,83600,90900,98600,106000,115000,124000,136000,151000,169000,192000,216000,239000,259000,274000,285000,293000,303000,319000,341000,369000,400000,427000,448000,462000,468000,471000,475000,481000,491000,505000,520000,535000,549000,561000,572000,582000,592000,601000,610000,619000,628000,637000,647000,658000,670000,682000,695000,708000,720000,733000,746000
Dominica,22700,23100,23500,23900,24400,24800,25400,25900,26500,27000,27500,28200,28900,29500,30100,30800,31600,32500,33500,34400,35200,36000,37100,38200,39100,40000,40900,41800,42600,43500,44400,45400,45600,45800,46000,46100,46100,45900,45700,45500,45500,45500,45900,46300,46700,47000,47300,47600,47800,48000,48300,48500,48700,49000,49200,49500,49800,50200,50500
Dominican Republic,995000,1060000,1130000,1200000,1280000,1360000,1440000,1530000,1620000,1710000,1810000,1910000,2020000,2130000,2240000,2350000,2470000,2590000,2720000,2850000,2980000,3110000,3220000,3310000,3390000,3480000,3570000,3660000,3750000,3850000,3940000,4030000,4130000,4230000,4360000,4500000,4650000,4790000,4940000,5080000,5230000,5380000,5530000,5720000,5920000,6130000,6330000,6540000,6740000,6950000,7150000,7340000,7530000,7710000,7900000,8080000,8260000,8440000,8620000
Ecuador,1540000,1610000,1690000,1760000,1840000,1920000,2010000,2100000,2190000,2280000,2380000,2490000,2590000,2700000,2820000,2960000,3110000,3260000,3420000,3580000,3750000,3930000,4110000,4280000,4460000,4640000,4830000,5020000,5220000,5430000,5640000,5830000,6030000,6220000,6420000,6620000,6820000,7030000,7230000,7440000,7650000,7850000,8030000,8200000,8360000,8530000,8700000,8880000,9060000,9230000,9410000,9580000,9750000,9920000,10100000,10300000,10500000,10700000,10900000
Egypt,10100000,10500000,10900000,11300000,11700000,12100000,12500000,13000000,13400000,13900000,14300000,14800000,15200000,15700000,16200000,16700000,17200000,17700000,18100000,18500000,19000000,19500000,20000000,20500000,21100000,21600000,22200000,22800000,23400000,23900000,24400000,24900000,25400000,25800000,26200000,26700000,27100000,27700000,28300000,28900000,29500000,30100000,30700000,31300000,31900000,32500000,33100000,33700000,34300000,34900000,35600000,36300000,37100000,37900000,38700000,39600000,40400000,41200000,42000000
El Salvador,1060000,1100000,1130000,1170000,1210000,1250000,1290000,1330000,1370000,1410000,1450000,1490000,1550000,1610000,1670000,1730000,1790000,1850000,1910000,1970000,2020000,2080000,2140000,2190000,2250000,2300000,2360000,2420000,2480000,2540000,2600000,2660000,2730000,2820000,2930000,3040000,3140000,3250000,3350000,3410000,3470000,3520000,3580000,3630000,3680000,3730000,3780000,3830000,3900000,3980000,4050000,4120000,4190000,4260000,4340000,4410000,4480000,4550000,4620000
Equatorial Guinea,65200,67700,68800,70000,71500,73200,75400,77900,80200,81700,81900,80800,78600,75600,72600,70100,68200,66800,66400,67200,69700,73900,79900,86800,96200,105000,114000,122000,129000,137000,146000,155000,164000,175000,186000,201000,218000,235000,255000,275000,298000,321000,346000,373000,402000,433000,466000,502000,540000,580000,622000,666000,712000,749000,787000,825000,864000,904000,944000
Eritrea,98700,105000,111000,117000,124000,132000,139000,148000,154000,160000,166000,173000,180000,188000,195000,203000,212000,221000,230000,239000,249000,260000,271000,282000,295000,316000,338000,361000,384000,407000,427000,444000,458000,470000,483000,496000,512000,529000,549000,576000,609000,652000,703000,761000,820000,879000,935000,989000,1040000,1080000,1120000,1150000,,,,,,,
Estonia,697000,714000,733000,753000,774000,794000,813000,829000,846000,865000,883000,902000,919000,936000,951000,966000,980000,995000,1010000,1020000,1030000,1040000,1050000,1060000,1070000,1080000,1090000,1100000,1120000,1120000,1120000,1110000,1090000,1060000,1030000,1010000,992000,979000,967000,967000,969000,961000,953000,946000,938000,931000,924000,918000,914000,910000,907000,902000,899000,898000,897000,900000,902000,905000,911000
